W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,
,,,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg
3,5,1000,0.7287,0.5494,0.03422,0,0,0,0,0,0,0,0,0,1.000,-0.744,0.2714,0.9940,0.2423,0.3404,0,0,0,1.000,0.5908,0.8725,1.000,0.2457,0.5812,0.9999,-0.32,0.5134,0.9999,0.6396,0.9426,0,0,0,1.000,0.6082,0.8400,0.8119,0.2195,0.06269,0.9952,-0.265,0.2710,0,0,0,0,0,0,0.9986,-0.306,0.1411,1.000,0.5748,0.5120,0.0833,0.0833,0,0.9996,0.6291,0.9494,0,0,0,0,0,0,0,0,0,1.000,0.608,0.6528
3,5,1500,0.7308,0.5863,0.1067,0,0,0,0,0,0,0,0,0,0.9998,-0.688,0.2557,0.9721,-0.297,0.2966,0,0,0,0.9999,0.6349,0.9521,0.9999,0.3628,0.5536,0.9999,-1.125,0.3152,0.9972,0.1742,0.5332,0,0,0,1.000,0.4797,0.8712,1.000,0.3685,0.4573,0.9997,-0.984,0.1509,0.0833,0.0833,0,0,0,0,0.9995,0.3186,0.6852,0.9998,0.6311,0.9074,0.0833,0.0833,0,0.9999,0.4617,0.8153,0,0,0,0,0,0,0,0,0,0.9999,0.5933,0.6456
3,5,2000,0.7701,0.5876,0.2423,0,0,0,0,0,0,0,0,0,0.9999,-0.509,0.3462,0.9995,-0.095,0.4484,0,0,0,0.9999,0.636,0.9283,1.000,0.4096,0.5907,0.9998,-1.228,0.3125,0.9999,0.0092,0.5567,0,0,0,1.000,0.3403,0.8557,0.9999,0.3038,0.4064,0.9993,-1.038,0.1094,0.0833,0.0833,0,0,0,0,0.9998,0.3593,0.7839,0.9999,0.6319,0.8782,0.0833,0.0833,0,1.000,0.513,0.8460,0,0,0,0,0,0,0,0,0,1.000,0.6263,0.6838
3,6,1000,0.869,0.5931,0.5074,0,0,0,0,0,0,0,0,0,0.9999,0.1508,0.5381,1.000,0.8420,1,0,0,0,1.000,0.39,0.8534,1.000,0.43,0.8213,1.000,0.3297,0.3055,0.6997,0.5403,0,0,0,0,0.8927,0.5078,0.3147,0.7699,0.5294,0.2883,0.7662,-0.052,0.04887,0,0,0,0,0,0,1.000,0.7142,1,0.9909,0.7237,1,0.3662,0.1552,0,0.7642,0.4306,0.1655,0,0,0,0,0,0,0,0,0,0.9999,0.4898,0.7409
3,6,1500,0.9227,0.6168,0.5416,0,0,0,0,0,0,0,0,0,0.9999,0.3632,0.8163,1.000,0.6287,0.8162,0,0,0,1.000,0.522,0.8197,1.000,-0.031,0.3712,1.000,0.2267,0.3570,0.7201,0.4621,0.1692,0,0,0,0.9999,0.5628,0.8360,0.7481,0.4231,0.08070,0.7388,-0.275,0.01387,0.2387,0.2107,0,0,0,0,0.9997,0.6184,0.8956,0.9560,0.6722,0.9280,0.4083,0.184,0,0.8374,0.3248,0.2539,0,0,0,0,0,0,0,0,0,0.9997,0.630,0.8220
3,6,2000,0.889,0.5608,0.4332,0,0,0,0,0,0,0,0,0,1.000,0.1517,0.7239,0.9999,0.6934,0.9965,0,0,0,1.000,0.584,0.8032,1.000,0.1207,0.5376,0.9997,0.2903,0.3672,0.7117,0.4441,0.05099,0,0,0,0.9999,0.5942,0.8851,0.8012,0.4162,0.1413,0.8452,-0.349,0.02942,0.256,0.2203,0,0,0,0,0.9995,0.5953,0.8634,0.9840,0.6733,0.9796,0.3877,0.201,0,0.8315,0.2705,0.1917,0,0,0,0,0,0,0,0,0,1.000,0.6528,0.9355
3,7,1000,0.9409,0.604,0.4879,0,0,0,0,0,0,0,0,0,1.000,0.5186,0.6464,0.3441,0.1006,0,0,0,0,1.000,0.5886,0.8069,0.9999,0.3334,0.6917,0.6262,-0.561,0,0.6347,0.2124,0,0,0,0,0.9968,0.5912,0.8959,1.000,0.2521,0.4665,0.9965,0.0356,0.4423,0,0,0,0,0,0,1.000,0.6017,0.9103,0.9673,0.6081,0.7146,0.3461,-0.193,0,0.7182,0.3311,0.02240,0,0,0,0,0,0,0,0,0,0.9997,0.6382,0.8194
3,7,1500,0.9273,0.5554,0.4242,0,0,0,0,0,0,0,0,0,0.9996,0.5038,0.7305,0.3682,-0.167,0,0,0,0,1.000,0.7356,1,1.000,0.2917,0.4930,0.7352,-0.404,0.003117,0.6746,0.1346,0,0,0,0,1.000,0.69,0.9873,0.9758,0.3483,0.3914,0.8633,-0.023,0.3315,0.2519,0.2008,0,0,0,0,0.9140,0.6272,0.8637,0.9663,0.5581,0.7789,0.2728,-0.344,0,0.7297,0.1075,0.04031,0,0,0,0,0,0,0,0,0,1.000,0.6512,0.9094
3,7,2000,0.8938,0.5137,0.3847,0,0,0,0,0,0,0,0,0,1.000,0.4748,0.8733,0.3597,-0.142,0,0,0,0,1.000,0.7264,1,0.9999,0.1554,0.3390,0.7885,-0.36,0.006924,0.7846,0.2174,0.02833,0,0,0,1.000,0.6643,0.9809,0.8716,0.3833,0.4633,0.8114,-0.028,0.1876,0.2489,0.2019,0,0,0,0,0.9262,0.6275,0.8986,1.000,0.5047,0.7061,0.2561,-0.349,0,0.695,0.0442,0,0,0,0,0,0,0,0,0,0,0.9999,0.6591,0.9367
